OpCode,Illegal,Mnemonic,AddressingMode,AMSortOrder
00,FALSE,BRK,Implied,1
01,FALSE,ORA,IndexedXIndirect,9
02,TRUE,JAM,Implied,1
03,TRUE,SLO,IndexedXIndirect,9
04,TRUE,NOP,ZeroPage,6
05,FALSE,ORA,ZeroPage,6
06,FALSE,ASL,ZeroPage,6
07,TRUE,SLO,ZeroPage,6
08,FALSE,PHP,Implied,1
09,FALSE,ORA,Immediate,2
0A,FALSE,ASL,Implied,1
0B,TRUE,ANC,Immediate,2
0C,TRUE,NOP,Absolute,3
0D,FALSE,ORA,Absolute,3
0E,FALSE,ASL,Absolute,3
0F,TRUE,SLO,Absolute,3
10,FALSE,BPL,Relative,12
11,FALSE,ORA,IndirectIndexedY,10
12,TRUE,JAM,Implied,1
13,TRUE,SLO,IndirectIndexedY,10
14,TRUE,NOP,ZeroPageIndexedX,7
15,FALSE,ORA,ZeroPageIndexedX,7
16,FALSE,ASL,ZeroPageIndexedX,7
17,TRUE,SLO,AbsoluteIndexedX,4
18,FALSE,CLC,Implied,1
19,FALSE,ORA,AbsoluteIndexedY,5
1A,TRUE,NOP,Implied,1
1B,TRUE,SLO,AbsoluteIndexedY,5
1C,TRUE,NOP,AbsoluteIndexedX,4
1D,FALSE,ORA,AbsoluteIndexedX,4
1E,FALSE,ASL,AbsoluteIndexedX,4
1F,TRUE,SLO,AbsoluteIndexedX,4
20,FALSE,JSR,Absolute,3
21,FALSE,AND,IndexedXIndirect,9
22,TRUE,JAM,Implied,1
23,TRUE,RLA,IndexedXIndirect,9
24,FALSE,BIT,ZeroPage,6
25,FALSE,AND,ZeroPage,6
26,FALSE,ROL,ZeroPage,6
27,TRUE,RLA,ZeroPage,6
28,FALSE,PLP,Implied,1
29,FALSE,AND,Immediate,2
2A,FALSE,ROL,Implied,1
2B,TRUE,ANC,Immediate,2
2C,FALSE,BIT,Absolute,3
2D,FALSE,AND,Absolute,3
2E,FALSE,ROL,Absolute,3
2F,TRUE,RLA,Absolute,3
30,FALSE,BMI,Relative,12
31,FALSE,AND,IndirectIndexedY,10
32,TRUE,JAM,Implied,1
33,TRUE,RLA,IndirectIndexedY,10
34,TRUE,NOP,ZeroPageIndexedX,7
35,FALSE,AND,ZeroPageIndexedX,7
36,FALSE,ROL,ZeroPageIndexedX,7
37,TRUE,RLA,ZeroPageIndexedX,7
38,FALSE,SEC,Implied,1
39,FALSE,AND,AbsoluteIndexedY,5
3A,TRUE,NOP,Implied,1
3B,TRUE,RLA,AbsoluteIndexedY,5
3C,TRUE,NOP,AbsoluteIndexedX,4
3D,FALSE,AND,AbsoluteIndexedX,4
3E,FALSE,ROL,AbsoluteIndexedX,4
3F,TRUE,RLA,AbsoluteIndexedX,4
40,FALSE,RTI,Implied,1
41,FALSE,EOR,IndexedXIndirect,9
42,TRUE,JAM,Implied,1
43,TRUE,SRE,IndexedXIndirect,9
44,TRUE,NOP,ZeroPage,6
45,FALSE,EOR,ZeroPage,6
46,FALSE,LSR,ZeroPage,6
47,TRUE,SRE,ZeroPage,6
48,FALSE,PHA,Implied,1
49,FALSE,EOR,Immediate,2
4A,FALSE,LSR,Implied,1
4B,TRUE,ASR,Immediate,2
4C,FALSE,JMP,Absolute,3
4D,FALSE,EOR,Absolute,3
4E,FALSE,LSR,Absolute,3
4F,TRUE,SRE,Absolute,3
50,FALSE,BVC,Relative,12
51,FALSE,EOR,IndirectIndexedY,10
52,TRUE,JAM,Implied,1
53,TRUE,SRE,IndirectIndexedY,10
54,TRUE,NOP,ZeroPageIndexedX,7
55,FALSE,EOR,ZeroPageIndexedX,7
56,FALSE,LSR,ZeroPageIndexedX,7
57,TRUE,SRE,AbsoluteIndexedX,4
58,FALSE,CLI,Implied,1
59,FALSE,EOR,AbsoluteIndexedY,5
5A,TRUE,NOP,Implied,1
5B,TRUE,SRE,AbsoluteIndexedY,5
5C,TRUE,NOP,AbsoluteIndexedX,4
5D,FALSE,EOR,AbsoluteIndexedX,4
5E,FALSE,LSR,AbsoluteIndexedX,4
5F,TRUE,SRE,AbsoluteIndexedX,4
60,FALSE,RTS,Implied,1
61,FALSE,ADC,IndexedXIndirect,9
62,TRUE,JAM,Implied,1
63,TRUE,RRA,IndexedXIndirect,9
64,TRUE,NOP,ZeroPage,6
65,FALSE,ADC,ZeroPage,6
66,FALSE,ROR,ZeroPage,6
67,TRUE,RRA,ZeroPage,6
68,FALSE,PLA,Implied,1
69,FALSE,ADC,Immediate,2
6A,FALSE,ROR,Implied,1
6B,TRUE,ARR,Immediate,2
6C,FALSE,JMP,IndirectAbsolute,11
6D,FALSE,ADC,Absolute,3
6E,FALSE,ROR,Absolute,3
6F,TRUE,RRA,Absolute,3
70,FALSE,BVS,Relative,12
71,FALSE,ADC,IndirectIndexedY,10
72,TRUE,JAM,Implied,1
73,TRUE,RRA,IndirectIndexedY,10
74,TRUE,NOP,ZeroPageIndexedX,7
75,FALSE,ADC,ZeroPageIndexedX,7
76,FALSE,ROR,ZeroPageIndexedX,7
77,TRUE,RRA,AbsoluteIndexedX,4
78,FALSE,SEI,Implied,1
79,FALSE,ADC,AbsoluteIndexedY,5
7A,TRUE,NOP,Implied,1
7B,TRUE,RRA,AbsoluteIndexedY,5
7C,TRUE,NOP,AbsoluteIndexedX,4
7D,FALSE,ADC,AbsoluteIndexedX,4
7E,FALSE,ROR,AbsoluteIndexedX,4
7F,TRUE,RRA,AbsoluteIndexedX,4
80,TRUE,NOP,Immediate,2
81,FALSE,STA,IndexedXIndirect,9
82,TRUE,NOP,Immediate,2
83,TRUE,SAX,IndexedXIndirect,9
84,FALSE,STY,ZeroPage,6
85,FALSE,STA,ZeroPage,6
86,FALSE,STX,ZeroPage,6
87,TRUE,SAX,ZeroPage,6
88,FALSE,DEY,Implied,1
89,TRUE,NOP,Immediate,2
8A,FALSE,TXA,Implied,1
8B,TRUE,ANE,Immediate,2
8C,FALSE,STY,Absolute,3
8D,FALSE,STA,Absolute,3
8E,FALSE,STX,Absolute,3
8F,TRUE,SAX,Absolute,3
90,FALSE,BCC,Relative,12
91,FALSE,STA,IndirectIndexedY,10
92,TRUE,JAM,Implied,1
93,TRUE,SHA,IndirectIndexedY,10
94,FALSE,STY,ZeroPageIndexedX,7
95,FALSE,STA,ZeroPageIndexedX,7
96,FALSE,STX,ZeroPageIndexedY,8
97,TRUE,SAX,ZeroPageIndexedY,8
98,FALSE,TYA,Implied,1
99,FALSE,STA,AbsoluteIndexedY,5
9A,FALSE,TXS,Implied,1
9B,TRUE,SHS,AbsoluteIndexedY,5
9C,TRUE,SHY,AbsoluteIndexedX,4
9D,FALSE,STA,AbsoluteIndexedX,4
9E,TRUE,SHX,AbsoluteIndexedY,5
9F,TRUE,SHA,AbsoluteIndexedY,5
A0,FALSE,LDY,Immediate,2
A1,FALSE,LDA,IndexedXIndirect,9
A2,FALSE,LDX,Immediate,2
A3,TRUE,LAX,IndexedXIndirect,9
A4,FALSE,LDY,ZeroPage,6
A5,FALSE,LDA,ZeroPage,6
A6,FALSE,LDX,ZeroPage,6
A7,TRUE,LAX,ZeroPage,6
A8,FALSE,TAY,Implied,1
A9,FALSE,LDA,Immediate,2
AA,FALSE,TAX,Implied,1
AB,TRUE,LXA,Immediate,2
AC,FALSE,LDY,Absolute,3
AD,FALSE,LDA,Absolute,3
AE,FALSE,LDX,Absolute,3
AF,TRUE,LAX,Absolute,3
B0,FALSE,BCS,Relative,12
B1,FALSE,LDA,IndirectIndexedY,10
B2,TRUE,JAM,Implied,1
B3,TRUE,LAX,IndirectIndexedY,10
B4,FALSE,LDY,ZeroPageIndexedX,7
B5,FALSE,LDA,ZeroPageIndexedX,7
B6,FALSE,LDX,ZeroPageIndexedY,8
B7,TRUE,LAX,ZeroPageIndexedY,8
B8,FALSE,CLV,Implied,1
B9,FALSE,LDA,AbsoluteIndexedY,5
BA,FALSE,TSX,Implied,1
BB,TRUE,LAE,AbsoluteIndexedY,5
BC,FALSE,LDY,AbsoluteIndexedX,4
BD,FALSE,LDA,AbsoluteIndexedX,4
BE,FALSE,LDX,AbsoluteIndexedY,5
BF,TRUE,LAX,AbsoluteIndexedY,5
C0,FALSE,CPY,Immediate,2
C1,FALSE,CMP,IndexedXIndirect,9
C2,TRUE,NOP,Immediate,2
C3,TRUE,DCP,IndexedXIndirect,9
C4,FALSE,CPY,ZeroPage,6
C5,FALSE,CMP,ZeroPage,6
C6,FALSE,DEC,ZeroPage,6
C7,TRUE,DCP,ZeroPage,6
C8,FALSE,INY,Implied,1
C9,FALSE,CMP,Immediate,2
CA,FALSE,DEX,Implied,1
CB,TRUE,SBX,Immediate,2
CC,FALSE,CPY,Absolute,3
CD,FALSE,CMP,Absolute,3
CE,FALSE,DEC,Absolute,3
CF,TRUE,DCP,Absolute,3
D0,FALSE,BNE,Relative,12
D1,FALSE,CMP,IndirectIndexedY,10
D2,TRUE,JAM,Implied,1
D3,TRUE,DCP,IndirectIndexedY,10
D4,TRUE,NOP,ZeroPageIndexedX,7
D5,FALSE,CMP,ZeroPageIndexedX,7
D6,FALSE,DEC,ZeroPageIndexedX,7
D7,TRUE,DCP,ZeroPageIndexedX,7
D8,FALSE,CLD,Implied,1
D9,FALSE,CMP,AbsoluteIndexedY,5
DA,TRUE,NOP,Implied,1
DB,TRUE,DCP,AbsoluteIndexedY,5
